"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"594",85843,2.691,33.635567,-117.798004
"595",85985,16.849,34.147858,-118.45907
"596",86071,62.604,34.1195,-118.22425
"597",8614,1.56,34.0514,-118.44521
"598",86193,15.335,33.902687,-118.36725
"599",86313,6.045,34.144264,-118.81384
"600",86339,43.154,34.09004,-118.18284
"601",86367,17.715,34.15931,-118.05542
"602",86405,17.106,34.12855,-118.16819
"603",86415,2.303,33.83701,-118.38082
"604",86589,1.458,34.21943,-118.21151
"605",86753,6.249,33.793392,-118.3877
"606",8690,9.951,33.80174,-118.34735
"607",86935,9.327,33.893402,-118.39312
"608",87045,1.67,34.16796,-118.4302
"609",87143,4.687,33.324802,-117.24326
"610",87315,48.242,34.141266,-118.109955
"611",87323,42.212,34.17098,-118.28316
"612",87355,9.684,34.14827,-118.5075
"613",87395,2.743,33.60358,-117.81286
"614",87413,6.471,33.92765,-117.84212
"615",87415,38.745,34.191086,-118.13345
"616",87445,13.968,33.577766,-117.70661
"617",87477,10.088,33.918884,-118.32899
"618",87495,11.174,34.144547,-118.421936
"619",87577,14.027,34.162693,-118.103485
"620",87587,5.528,34.025032,-118.45225
"621",87595,3.366,33.62326,-117.84966
"622",87963,6.814,34.088512,-118.433685
"623",88205,2.521,33.61068,-117.65971
"624",88279,6.564,33.824554,-118.11844
"625",88339,9.985,34.13391,-118.16548
"626",88495,3.734,33.880096,-118.39174
"627",88809,32.785,34.073467,-118.19955
"628",8898,54.94,33.971027,-118.2406
"629",89259,1.202,34.030636,-118.50588
"630",89295,8.122,34.067825,-118.25416
"631",89351,30.686,34.137184,-118.23212
"632",8956,47.162,33.77166,-118.12528
"633",89729,42.453,34.19593,-118.11812
"634",8994,13.325,34.108917,-118.26571
"635",8996,10.967,33.837345,-118.38025
"636",90005,21.943,34.051476,-118.247894
"637",90323,8.355,34.097935,-118.38276
"638",9076,67.17,34.036003,-118.191345
"639",90833,5.494,34.11123,-118.2842
"640",91051,31.512,33.903294,-117.511185
"641",91055,9.916,34.28839,-118.44374
"642",9108,55.254,33.975418,-118.196884
"643",91081,16.223,34.200516,-118.17351
"644",9124,63.07,33.86719,-118.15143
"645",9144,55.171,33.814045,-118.00415
"646",9156,63.562,34.151745,-118.21818
"647",9164,11.298,34.196377,-118.65899
"648",9168,13.707,34.09818,-118.28198
"649",9180,4.957,33.761765,-117.49799
"650",9196,10.77,33.799114,-117.527626
"651",92043,11.363,34.043262,-118.57096
"652",9206,9.894,33.747086,-117.46061
"653",9208,16.135,33.75318,-117.468864
"654",92103,9.079,33.7109,-117.78595
"655",92105,52.289,34.10935,-118.14673
"656",92227,25.899,33.49595,-117.67819
"657",9226,30.395,33.99939,-117.416336
